Provider_classification_type,Provider_classification_code,NPI_Required
1,207RI0011X,YES
1,207RI0200X,YES
1,207RM1200X,YES
1,207RN0300X,YES
1,207RP1001X,YES
1,207RR0500X,YES
1,207RS0010X,YES
1,207RS0012X,YES
1,207RT0003X,YES
1,207RX0202X,YES
1,207SC0300X,YES
1,207SG0201X,YES
1,207SG0202X,YES
1,207SG0203X,YES
1,207SG0205X,YES
1,207SM0001X,YES
1,207T00000X,YES
1,207U00000X,YES
1,207UN0901X,YES
1,207UN0902X,YES
1,207UN0903X,YES
1,207V00000X,YES
1,207VB0002X,YES
1,207VC0200X,YES
1,207VE0102X,YES
1,207VF0040X,YES
1,207VG0400X,YES
1,207VH0002X,YES
1,207VM0101X,YES
1,207VX0000X,YES
1,207VX0201X,YES
1,207W00000X,YES
1,207WX0009X,YES
1,207WX0107X,YES
1,207WX0108X,YES
1,207WX0109X,YES
1,207WX0110X,YES
1,207WX0120X,YES
1,207WX0200X,YES
1,207X00000X,YES
1,207XP3100X,YES
1,207XS0106X,YES
1,207XS0114X,YES
1,207XS0117X,YES
1,207XX0004X,YES
1,207XX0005X,YES
1,207XX0801X,YES
1,207Y00000X,YES
1,207YP0228X,YES
1,207YS0012X,YES
1,207YS0123X,YES
1,207YX0007X,YES
1,207YX0602X,YES
1,207YX0901X,YES
1,207YX0905X,YES
1,207ZB0001X,YES
1,207ZC0006X,YES
1,207ZC0008X,YES
1,207ZC0500X,YES
1,207ZD0900X,YES
1,207ZF0201X,YES
1,207ZH0000X,YES
1,207ZI0100X,YES
1,207ZM0300X,YES
1,207ZN0500X,YES
1,207ZP0007X,YES
1,207ZP0101X,YES
1,207ZP0102X,YES
1,207ZP0104X,YES
1,207ZP0105X,YES
1,207ZP0213X,YES
1,208000000X,YES
1,2080A0000X,YES
1,2080B0002X,YES
1,2080C0008X,YES
1,2080H0002X,YES
1,2080I0007X,YES
1,2080N0001X,YES
1,2080P0006X,YES
1,2080P0008X,YES
1,2080P0201X,YES
1,2080P0202X,YES
1,2080P0203X,YES
1,2080P0204X,YES
1,2080P0205X,YES
1,2080P0206X,YES
1,2080P0207X,YES
