,ZipCode,StateFIPS
429,1516,25
430,1518,25
431,1519,25
432,1520,25
433,1521,25
434,1522,25
435,1523,25
436,1524,25
437,1525,25
438,1526,25
439,1527,25
440,1529,25
441,1531,25
442,1532,25
443,1534,25
444,1535,25
445,1536,25
446,1537,25
447,1538,25
448,1540,25
449,1541,25
450,1542,25
451,1543,25
452,1545,25
453,1546,25
454,1550,25
455,1560,25
456,1561,25
457,1562,25
458,1564,25
459,1566,25
460,1568,25
461,1569,25
462,1570,25
463,1571,25
464,1581,25
465,1583,25
466,1585,25
467,1586,25
468,1588,25
469,1590,25
470,1601,25
471,1602,25
472,1603,25
473,1604,25
474,1605,25
475,1606,25
476,1607,25
477,1608,25
478,1609,25
479,1610,25
480,1611,25
481,1612,25
482,1613,25
483,1614,25
484,1615,25
485,1653,25
486,1655,25
487,1701,25
488,1702,25
489,1703,25
490,1704,25
491,1705,25
492,1718,25
493,1719,25
494,1720,25
495,1721,25
496,1730,25
497,1731,25
498,1740,25
499,1741,25
500,1742,25
501,1745,25
502,1746,25
503,1747,25
504,1748,25
505,1749,25
506,1752,25
507,1754,25
508,1756,25
509,1757,25
510,1760,25
511,1770,25
512,1772,25
513,1773,25
514,1775,25
515,1776,25
516,1778,25
517,1784,25
518,1801,25
519,1803,25
520,1805,25
521,1810,25
522,1812,25
523,1813,25
524,1815,25
525,1821,25
526,1822,25
527,1824,25
528,1826,25
529,1827,25
530,1830,25
531,1831,25
532,1832,25
533,1833,25
534,1834,25
535,1835,25
536,1840,25
537,1841,25
538,1842,25
539,1843,25
540,1844,25
541,1845,25
542,1850,25
543,1851,25
544,1852,25
545,1853,25
546,1854,25
547,1860,25
548,1862,25
549,1863,25
550,1864,25
551,1865,25
552,1866,25
553,1867,25
554,1876,25
555,1879,25
556,1880,25
557,1885,25
558,1886,25
559,1887,25
560,1888,25
561,1889,25
562,1890,25
563,1899,25
564,1901,25
565,1902,25
566,1903,25
567,1904,25
568,1905,25
569,1906,25
570,1907,25
571,1908,25
572,1910,25
573,1913,25
574,1915,25
575,1921,25
576,1922,25
577,1923,25
578,1929,25
579,1930,25
580,1931,25
581,1936,25
582,1937,25
583,1938,25
584,1940,25
585,1944,25
586,1945,25
587,1949,25
588,1950,25
589,1951,25
590,1952,25
591,1960,25
592,1961,25
593,1965,25
594,1966,25
595,1969,25
596,1970,25
597,1971,25
598,1982,25
599,1983,25
600,1984,25
601,1985,25
602,2018,25
603,2019,25
604,2020,25
605,2021,25
606,2025,25
607,2026,25
608,2027,25
609,2030,25
610,2032,25
611,2035,25
612,2038,25
613,2040,25
614,2041,25
615,2043,25
616,2044,25
617,2045,25
618,2047,25
619,2048,25
620,2050,25
621,2051,25
622,2052,25
623,2053,25
624,2054,25
625,2055,25
626,2056,25
627,2059,25
628,2060,25
629,2061,25
630,2062,25
631,2065,25
632,2066,25
633,2067,25
634,2070,25
635,2071,25
636,2072,25
637,2081,25
638,2090,25
639,2093,25
640,2108,25
641,2109,25
642,2110,25
643,2111,25
644,2112,25
645,2113,25
646,2114,25
647,2115,25
648,2116,25
649,2117,25
650,2118,25
651,2119,25
652,2120,25
653,2121,25
654,2122,25
655,2123,25
656,2124,25
657,2125,25
658,2126,25
659,2127,25
660,2128,25
661,2129,25
662,2130,25
663,2131,25
664,2132,25
665,2133,25
666,2134,25
667,2135,25
668,2136,25
669,2137,25
670,2138,25
671,2139,25
672,2139,25
673,2140,25
674,2141,25
675,2142,25
676,2143,25
677,2144,25
678,2145,25
679,2148,25
680,2149,25
681,2150,25
682,2151,25
683,2152,25
684,2153,25
685,2155,25
686,2156,25
687,2163,25
688,2169,25
689,2170,25
690,2171,25
691,2176,25
692,2180,25
693,2184,25
694,2185,25
695,2186,25
696,2187,25
697,2188,25
698,2189,25
699,2190,25
700,2191,25
701,2196,25
702,2199,25
703,2201,25
704,2203,25
705,2204,25
706,2205,25
707,2206,25
708,2210,25
709,2211,25
710,2212,25
711,2215,25
712,2217,25
713,2222,25
714,2238,25
715,2241,25
716,2266,25
717,2269,25
718,2283,25
719,2284,25
720,2293,25
721,2297,25
722,2298,25
723,2301,25
724,2302,25
725,2303,25
726,2304,25
727,2305,25
728,2322,25
729,2324,25
730,2325,25
731,2327,25
732,2330,25
733,2331,25
734,2332,25
735,2333,25
736,2334,25
737,2337,25
738,2338,25
739,2339,25
740,2339,25
741,2341,25
742,2343,25
743,2344,25
744,2345,25
745,2346,25
746,2347,25
747,2348,25
748,2349,25
749,2350,25
750,2351,25
751,2355,25
752,2356,25
753,2357,25
754,2358,25
755,2359,25
756,2360,25
757,2361,25
758,2362,25
759,2364,25
760,2366,25
761,2367,25
762,2368,25
763,2370,25
764,2375,25
765,2379,25
766,2381,25
767,2382,25
768,2420,25
769,2421,25
770,2445,25
771,2445,25
772,2446,25
773,2447,25
774,2451,25
775,2452,25
776,2453,25
777,2454,25
778,2455,25
779,2456,25
780,2457,25
781,2458,25
782,2459,25
783,2460,25
784,2461,25
785,2462,25
786,2464,25
787,2465,25
788,2466,25
789,2467,25
790,2467,25
791,2467,25
792,2468,25
793,2471,25
794,2472,25
795,2474,25
796,2475,25
797,2476,25
798,2477,25
799,2478,25
800,2479,25
801,2481,25
802,2482,25
803,2492,25
804,2493,25
805,2494,25
806,2495,25
807,2532,25
808,2532,25
809,2534,25
810,2535,25
811,2536,25
812,2537,25
813,2538,25
814,2539,25
815,2540,25
816,2541,25
817,2542,25
818,2543,25
819,2552,25
820,2553,25
821,2554,25
822,2556,25
823,2557,25
824,2558,25
825,2559,25
826,2561,25
827,2562,25
828,2562,25
829,2563,25
830,2564,25
831,2568,25
832,2571,25
833,2574,25
834,2575,25
835,2576,25
836,2584,25
837,2601,25
838,2630,25
839,2631,25
840,2632,25
841,2633,25
842,2634,25
843,2635,25
844,2637,25
845,2638,25
846,2639,25
847,2641,25
848,2642,25
849,2643,25
850,2644,25
851,2645,25
852,2646,25
853,2647,25
854,2648,25
855,2649,25
856,2650,25
857,2651,25
858,2652,25
859,2653,25
860,2655,25
861,2657,25
862,2659,25
863,2660,25
